id,question,answer,alternate_questions,tags,source,source_section,status,owner,reviewer,last_reviewed,version,notes
kt-001,What is Action?,"A measure taken by a company to reduce emissions or support the scale-up of net-zero-aligned practices or technologies within its operations, value chains, activity pools, or sectors. Actions may include, but are not limited to, operational changes, investments, purchasing decisions, or the use of market instruments where permitted (adapted from GHG Protocol, 2026). Note: Actions can also be referred to as interventions (AIM Platform, 2026).",What does Action mean?;Define Action;Action definition;How does the SBTi Corporate Net-Zero Standard define Action?;Action,definitions;net-zero;market instruments;value chain,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Action,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-002,What is Activity?,"An individual source of emissions. The term is used throughout the Corporate Net-Zero Standard to refer to commodities, products, services, and activities, such as cement or steel for category 1 emissions, or the mode of transport (e.g., maritime or aviation) for category 4 emissions (adapted from the GHG Protocol – WRI, WBCSD, 2011). Note: Activities can also be referred to as emissions sources (see IPCC and AIM Platform, 2026).",What does Activity mean?;Define Activity;Activity definition;How does the SBTi Corporate Net-Zero Standard define Activity?;Activity,definitions;net-zero;value chain,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Activity,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-003,What is Activity pool?,"A shared system of activities that serves the reporting entity, defined at the smallest system boundary within which the specific activity or activities serving the company cannot feasibly be identified. Examples include gas grids (scope 1), electricity grids (scope 2), supply sheds (scope 3), and logistics networks (scope 3) (adapted from Brander & Bjørn, 2023 and the Value Change Initiative, 2025).",What does Activity pool mean?;Define Activity pool;Activity pool definition;How does the SBTi Corporate Net-Zero Standard define Activity pool?;Activity pool,definitions;scope 1;scope 2;scope 3,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Activity pool,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-004,What is Actor?,"An organization, institution, or other formal body operating in the public or private sphere (e.g., a company, multilateral institution, or non-governmental organization).",What does Actor mean?;Define Actor;Actor definition;How does the SBTi Corporate Net-Zero Standard define Actor?;Actor,definitions;definitions,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Actor,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-005,What are Adaptation and resilience funding?,"Funding of actions that reduce vulnerability or increase resilience to climate impacts, particularly in climate-vulnerable regions and communities.",What does Adaptation and resilience funding mean?;Define Adaptation and resilience funding;Adaptation and resilience funding definition;How does the SBTi Corporate Net-Zero Standard define Adaptation and resilience funding?;Adaptation and resilience funding,definitions;definitions,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Adaptation and resilience funding,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-006,What is Alignment?,"The extent to which targets, activities, or outcomes are consistent with relevant science-based reference pathways.",What does Alignment mean?;Define Alignment;Alignment definition;How does the SBTi Corporate Net-Zero Standard define Alignment?;Alignment,definitions;targets,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Alignment,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-007,What are Alignment targets?,"Targets that are designed to deliver a specific outcome aligned with the long-term global goal of reaching net-zero emissions by a defined point in time (2050 or earlier). These targets drive the net-zero transition by progressively increasing the share of a company’s activities, purchasing, and/or revenue that meet defined science-based performance benchmarks.",What does Alignment targets mean?;Define Alignment targets;Alignment targets definition;How does the SBTi Corporate Net-Zero Standard define Alignment targets?;Alignment targets,definitions;long-term;net-zero;targets,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Alignment targets,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-008,What is Assessment?,"Review of compliance or performance of a product, process, system, person, or entity against specified requirements (ISEAL, 2025).",What does Assessment mean?;Define Assessment;Assessment definition;How does the SBTi Corporate Net-Zero Standard define Assessment?;Assessment,definitions;definitions,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Assessment,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-009,What is Assessment stage?,Refers to the specific conformity assessment within the target cycle and when each criterion is assessed according to the validation cycle.,What does Assessment stage mean?;Define Assessment stage;Assessment stage definition;How does the SBTi Corporate Net-Zero Standard define Assessment stage?;Assessment stage,definitions;targets;verification,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Assessment stage,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
kt-010,What is Asset?,"A tangible physical unit, piece of equipment, or infrastructure under the company’s ownership or operational control that performs a defined function within operations and can be associated with energy or material flows that generate scope 1 GHG emissions.",What does Asset mean?;Define Asset;Asset definition;How does the SBTi Corporate Net-Zero Standard define Asset?;Asset,definitions;scope 1,SBTi Corporate Net-Zero Standard v2.0 (June 2026),Key Terms — Asset,approved,,,,1,"AI-drafted from SBTi CNZS v2.0 PDF text layer (Key Terms table, pp.85-101); answer verbatim; pending SME review."
