id,question,answer,alternate_questions,tags,source,source_section,status,owner,reviewer,last_reviewed,version,notes
KQ-001,What are the key innovations introduced in Version 2.0 of the Corporate Net-Zero Standard?,"Version 2.0 of the Corporate Net-Zero Standard includes the following key innovations: O Differentiated approaches across markets: The Corporate Net-Zero Standard V2.0 includes accommodations for small and medium-sized enterprises, and companies in lower-income countries. O Set actionable, context-specific targets: Companies set targets that reflect their opportunities to reduce emissions in different contexts, including capital stock, supply/ value chains, sectors, and geographies. It also strengthens the link to transition planning, which has quickly become established as best practice for the corporate net-zero transition. Companies set two or more near-term targets and can choose to set an overarching net-zero target. O Act transparently on a best-efforts basis: Targets are pursued on a best-efforts basis, with transparency over key assumptions and dependencies. Companies are expected to use all available levers to reduce emissions and address any implementation barriers. This will be ensured through alignment with commercial incentives; transparent, regularly scrutinized progress reporting, including periodic assurance; and minimum progress criteria for target setting in subsequent cycles. Mobilize all available levers to deliver emissions reductions: After setting science-based targets, companies take action to implement them. The Corporate Net-Zero Standard V2.0 introduces an implementation hierarchy that prioritizes actions, from those directly reducing emissions in company operations and value chains to broader activity pool and sector-level actions where appropriate. These actions may be supported by market instruments, including energy attributes and commodity certificates based on different chain-of-custody models (e.g., mass balance, book-and-claim), subject to guardrails. O Continuously assess, disclose, and strengthen progress: A process of annual reporting and periodic assessment of progress, barriers to implementation, and actions to address these; and for setting new targets before or at the end of a cycle – including where there are gaps between emissions and targets – to ensure ongoing alignment with net- zero pathways. Through this continuous improvement process, companies can continue progressing within the SBTi framework toward net-zero. O Maintain ongoing emissions responsibility: The Corporate Net-Zero Standard V2.0 takes a balanced approach to the use of high-integrity carbon credits and other climate contributions as a complement and not a substitute to companies reducing their carbon footprint, through a voluntary recognition program.",What changed in SBTi Corporate Net-Zero Standard V2.0?|What new features does CNZ V2.0 introduce?,innovation|v2|SME|lower-income countries|near-term targets|transition planning|implementation hierarchy|market instruments|progress reporting|carbon credits,SBTi Corporate Net-Zero Standard V2.0,Executive Summary / Key Innovations,approved,,,,2.0,
KQ-002,"What are the near-term target (5-year) requirements for Scope 1, Scope 2, and Scope 3 under the Corporate Net-Zero Standard V2.0?",Near-term targets (5-year targets): Scope 1: Required for all companies. Scope 2: Required for all companies. Scope 3: Required for Category A companies.,Are near-term targets mandatory for all scopes?|Which scopes require near-term targets?,near-term targets|scope 1|scope 2|scope 3|Category A|5-year targets|mandatory,SBTi Corporate Net-Zero Standard V2.0,Target Requirements Table,approved,,,,2.0,
KQ-003,"What are the long-term target requirements for Scope 1, Scope 2, and Scope 3 under the Corporate Net-Zero Standard V2.0?",Long-term targets (targets to reach residual emissions levels by 2050 at the latest): Scope 1: Dependent on target-setting method. Scope 2: Optional for all companies. Scope 3: Optional for all companies.,Are long-term targets mandatory?|Which scopes require long-term targets?|What are the 2050 target requirements by scope?,long-term targets|scope 1|scope 2|scope 3|2050|residual emissions|optional,SBTi Corporate Net-Zero Standard V2.0,Target Requirements Table,approved,,,,2.0,
KQ-004,What do net-zero targets include and are they mandatory?,"Net-zero targets combine scope 1, 2, and 3 near-term and long-term targets, together with the neutralization of residual emissions at the net-zero target year. Net-zero targets are optional for all companies.",Is a net-zero target required?|What is included in a net-zero target?,net-zero targets|scope 1|scope 2|scope 3|neutralization|residual emissions|optional,SBTi Corporate Net-Zero Standard V2.0,Target Requirements Table,approved,,,,2.0,
KQ-005,What is the status of Version 1 of the Corporate Net-Zero Standard and until when can companies set targets under it?,"Many of the elements of the Corporate Net-Zero Standard V2.0 are or will be available under the Corporate Net-Zero Standard Version 1 through transitional arrangements. Forward-looking target setting based on the latest data is already available. Company categorization, approaches to target implementation, progress assessment, and ongoing emissions responsibility will be available. Version 1 will remain attractive to many companies as an on-ramp to the SBTi, for example, through its combined scopes 1 and 2 targets and approaches to scope 3 emissions. Therefore, for companies that have commitments to set targets and have been planning against Version 1, we encourage them to submit targets on this basis. Version 1 of the Standard will remain open for setting targets until the end of 2027. For more information, refer to the accompanying documentation.",Is Version 1 still available?|Can companies still use the old standard?|When does Version 1 close?,Version 1|transitional arrangements|target setting|2027|on-ramp|scope 1|scope 2|scope 3,SBTi Corporate Net-Zero Standard V2.0,Transitional Arrangements,approved,,,,2.0,Also see KQ-006: When should companies with existing 2030 targets begin setting targets under V2.0?
KQ-006,When should companies with existing 2030 targets begin setting targets under Corporate Net-Zero Standard V2.0?,"Companies that already have 2030 targets should start to set targets for the next cycle (2030–2035) under the Corporate Net-Zero Standard V2.0 from 2028, in order to allow sufficient lead time for implementation. In the meantime, and for the remainder of the target cycle, companies will be able to use elements of V2.0 as set out in the paragraph above.",When do 2030 target holders transition to V2.0?|What is the timeline for adopting V2.0?,2030 targets|2028|target cycle|2030-2035|V2.0|transition|implementation,SBTi Corporate Net-Zero Standard V2.0,Transitional Arrangements,approved,,,,2.0,Also see KQ-005: What is the status of Version 1 and until when can companies set targets under it?
KQ-007,What are the three sets of complementary documents that support the Corporate Net-Zero Standard?,The Corporate Net-Zero Standard is supported by three sets of complementary documents that are published separately from the Standard: O Methods and Pathways: Provides technical details for setting targets. O Assurance: Explains the process for Target Validation and End-of-cycle Assessment. O Claims: Sets out how companies communicate about their SBTi targets.,What supporting documents accompany the Corporate Net-Zero Standard?|What documents complement the SBTi standard?,complementary documents|methods and pathways|assurance|claims|target validation|end-of-cycle assessment|SBTi,SBTi Corporate Net-Zero Standard V2.0,Supporting Documents,approved,,,,2.0,
KQ-008,What are the two company categories under the Corporate Net-Zero Standard and what are their key differences in requirements?,"There are two categories of companies within the Corporate Net-Zero Standard. Category A comprises large companies from all countries and medium-sized companies from high-income countries, while Category B comprises small companies from all countries and medium-sized companies from lower-income countries, as defined by revenue and other criteria. While certain requirements for Category A companies are optional for Category B companies – for example, disclosure of transition plans, assurance of target base year data, and scope 3 target setting – the SBTi strongly encourages Category B companies to go beyond these minimum requirements. Subsidiary companies within conglomerates may be regarded as separate companies where they operate as distinct businesses.",What is Category A vs Category B?|How are companies categorized under SBTi V2.0?|What are the requirements for small companies under the Corporate Net-Zero Standard?,Category A|Category B|large companies|medium-sized companies|small companies|high-income countries|lower-income countries|scope 3|transition plans|assurance|subsidiary|conglomerates,SBTi Corporate Net-Zero Standard V2.0,Company Categorization,approved,,,,2.0,
KQ-009,What does the Corporate Net-Zero Standard require regarding leadership accountability and governance for science-based targets?,"Leadership accountability for science-based targets. Intent: To ensure that companies' science-based targets are supported by strong governance, with oversight at the highest level of the organization, clear management responsibility for implementation, and integration of climate targets into corporate strategy and decision-making. Criterion CNZS-C1 states that companies shall obtain internal approval at the highest level of governance to set and submit SBTi targets, and ensure oversight of target implementation at that level. This criterion CNZS-C1 applies to company categories A and B.",Who is responsible for approving SBTi targets?|What governance is required for science-based targets?|Does the board need to approve SBTi targets?,governance|leadership accountability|CNZS-C1|board approval|highest level|management responsibility|corporate strategy|Category A|Category B,SBTi Corporate Net-Zero Standard V2.0,CNZS-C1 Leadership Accountability,approved,,,,2.0,
KQ-010,What does the Corporate Net-Zero Standard require regarding the development of a transition plan?,"Developing a transition plan. Intent: To ensure that a company's validated targets are supported by a credible, time-bound transition plan that outlines how targets will be implemented, identifies key assumptions and dependencies, and provides transparent governance and accountability for implementation. For the purposes of the Corporate Net-Zero Standard V2.0, the transition plan focuses on the actions and timelines required to deliver the company's validated targets. CNZS-C2. Companies shall develop and maintain a transition plan that demonstrates how they will implement their science-based targets. This criterion CNZS-C2 applies to company categories A and B, except sub-criterion C2.4, which is Category A only.",Is a transition plan mandatory under SBTi V2.0?|What must a transition plan include under CNZS-C2?|Which companies need a transition plan?,transition plan|CNZS-C2|credible|time-bound|governance|accountability|Category A|Category B|validated targets|assumptions|dependencies,SBTi Corporate Net-Zero Standard V2.0,CNZS-C2 Transition Plan,approved,,,,2.0,
